Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
SCO OpenServer Termsh缓冲区溢出漏洞,CNNVD-200601-009,2006-01-03,2006-05-12,中危,授权问题,SCO OpenServer是中小企业业务最流行的Unix服务器平台。 SCO OpenServer termsh应用中存在本地溢出漏洞。攻击者可能利用这个漏洞获得权限提升。,CVE-2006-0072
DiscusWare Discus跨站脚本攻击漏洞,CNNVD-200601-006,2006-01-03,2006-01-04,低危,跨站脚本,DiscusWare Discus Freeware存在跨站脚本攻击(XSS)漏洞，可让远程攻击者通过URL中未指定的矢量(未从产生的错误消息中适当净化)注入任意Web脚本或HTML。注意：此信息来源未知；只是从第三方信息来源获取的详细信息。,CVE-2006-0073
PHPBook邮件字段PHP代码注入漏洞,CNNVD-200601-002,2006-01-03,2006-01-04,高危,授权问题,PhpBook 1.3.2及更早版本中的直接静态代码注入漏洞，可让远程攻击者通过写入PHP文件的新消息中的电子邮件字段(邮件变量)执行任意PHP代码。,CVE-2006-0075
CubeCart includes/orderSuccess.inc.php PHP远程文件包含漏洞,CNNVD-200601-008,2006-01-03,2006-05-12,高危,代码注入,CubeCart的includes/orderSuccess.inc.php存在PHP远程文件包含漏洞，可让远程攻击者通过glob[rootDir]参数中的URL执行任意PHP代码。,CVE-2006-0064
Chipmunk Guestbook Homepage 跨站脚本攻击漏洞,CNNVD-200601-003,2006-01-03,2006-08-28,低危,跨站脚本,Chipmunk Guestbook 1.4及更早版本的addentry.php中的跨站脚本攻击(XSS)漏洞，可让远程攻击者通过homepage参数注入任意Web脚本或HTML。,CVE-2006-0069
ExtAttr扩展的文件属性Off-By-One缓冲区溢出漏洞,CNNVD-200601-007,2006-01-03,2006-01-05,中危,授权问题,File::ExtAttr 0.03之前版本的getfattr函数中的Off-by-one错误，可让攻击者通过未指定的攻击矢量触发缓冲区溢出。,CVE-2006-0077
VEGO Web Forum Theme_ID SQL注入漏洞,CNNVD-200601-011,2006-01-03,2006-01-04,高危,SQL注入,VEGO Web Forum 1.26及更早版本的(1) functions.php、(2) functions_update.php和(3) functions_display.php中存在SQL注入漏洞，远程攻击者可以通过index.php中的theme_id参数执行任意SQL命令。,CVE-2006-0065
Jevontech PHPenpals PersonalID SQL注入漏洞,CNNVD-200601-004,2006-01-03,2009-06-02,高危,SQL注入,PHPenpals的profile.php存在SQL注入漏洞，可让远程攻击者通过personalID参数执行任意SQL命令。注意：后来有报告称1.1及更早版本受到影响。,CVE-2006-0074
PHPJournaler Readold变量SQL注入漏洞,CNNVD-200601-005,2006-01-03,2006-01-04,高危,SQL注入,PHPjournaler 1.0的index.php存在SQL注入漏洞，可让远程攻击者通过readold参数执行任意SQL命令。,CVE-2006-0066
OABoard Forum脚本远程文件包含漏洞,CNNVD-200601-012,2006-01-03,2006-09-21,高危,授权问题,oaBoard 1.0的forum.php中存在PHP远程文件包含漏洞，远程攻击者可以通过inc参数中的URL执行任意PHP代码。,CVE-2006-0076
