Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
Solstice Backup 安全漏洞,CNNVD-200001-003,2000-01-01,2022-08-18,低危,其他,Solstice Backup 存在安全漏洞。本地用户可以利用该漏洞恢复敏感文件。,CVE-2000-0069
Phorum violation.php3转发任意邮件漏洞,CNNVD-200012-204,2000-01-01,2005-10-20,中危,授权问题,Phorum是Phorum团队开发的一套基于PHP和MySQL的开源论坛应用程序。 Phorum存在一个漏洞允许远程用户发送任意邮件，而且不需要任何验证。 violation.php3处理URL的参数，通过主机的MTA给Mod参数指定的email发送邮件，不过要记住的是，这封电子邮件会包含攻击者的IP(或代理服务器IP)和FQDN。恶意用户可能利用这个漏洞发送垃圾邮件或邮件炸弹等行径，可能让WEB主机的IP被加入垃圾邮件服务器的黑名单。,CVE-2000-1234
Allaire Spectra 1.0 invoke.cfm未授权RAS访问漏洞,CNNVD-200001-001,2000-01-01,2005-05-02,高危,授权问题,Allaire Spectra 1.0版本中的远程访问服务invoke.cfm模板存在漏洞。用户借助bAuthenticated参数可以绕过认证。,CVE-2000-0120
libc FreeBSD缓冲区溢出漏洞,CNNVD-200001-002,2000-01-01,2006-11-16,高危,授权问题,libc模块中FreeBSD setlocale存在缓冲区溢出漏洞。攻击者可以借助超长的PATH_LOCALE环境变量执行任意代码。,CVE-1999-0964
HP-UX Aserver PATH漏洞,CNNVD-200001-004,2000-01-02,2009-03-04,高危,授权问题,1999六月版本的HP-UX aserver程序存在漏洞。本地用户可以通过指定一个备用PATH来提升特权，aserver用该PATH寻找awk命令。,CVE-2000-0078
HP-UX Aserver PATH漏洞,CNNVD-200001-005,2000-01-02,2009-03-04,高危,授权问题,1998十月版本的HP-UX aserver程序存在漏洞。本地用户可以通过指定一个备用PATH来提升特权，aserver用该PATH寻找aps和grep命令。,CVE-2000-0077
WebTV电子邮件客户端漏洞,CNNVD-200001-006,2000-01-02,2005-10-20,低危,授权问题,WebTV电子邮件客户端存在漏洞。远程攻击者可以借助HTML强制客户端发送没有用户知识的电子邮件。,CVE-2000-0082
Allaire Spectra 1.0 Webtop漏洞,CNNVD-200001-015,2000-01-04,2005-07-27,中危,授权问题,The Allaire Spectra Webtop存在漏洞。未授权的用户可以通过指定明确的URL访问其他的Webtop部分。,CVE-2000-0050
KDE K-Mail特权提升漏洞,CNNVD-200001-012,2000-01-04,2005-10-21,中危,授权问题,KDE K-Mail存在漏洞。本地用户可以借助临时用户目录中的符号链接攻击提升特权。,CVE-1999-0735
Netscape Enterprise Server 和 FastTrask Server缓冲区溢出漏洞,CNNVD-200001-016,2000-01-04,2005-05-02,超危,授权问题,Netscape Enterprise Server和FastTrask Server存在缓冲区溢出漏洞。远程攻击者可以超长HTTP GET请求提升特权。,CVE-1999-0744
PHP3 'safe_mode'失效漏洞,CNNVD-200001-007,2000-01-04,2005-10-20,超危,授权问题,含有安全模式的PHP3无法正确地从相关函数执行的命令中过滤shell元字符。远程攻击者可以利用此漏洞执行命令。,CVE-2000-0059
多个Linux供应商userhelper/PAM路径漏洞,CNNVD-200001-018,2000-01-04,2005-05-02,高危,授权问题,Red Hat usermode包中的userhelper程序存在漏洞。本地用户可以借助PAM和..(点 点)攻击提升根访问权。,CVE-2000-0052
Red Hat Linux screen program 安全漏洞,CNNVD-200312-511,2000-01-04,2022-08-18,超危,其他,Red Hat Linux screen program是美国红帽（Red Hat）公司发布的一套用于在多个进程之间多路复用一个物理终端的窗口管理器程序。 Red Hat Linux screen program中存在安全漏洞，该漏洞源于程序没有使用Unix98终端。本地攻击者可利用该漏洞写入其他终端。,CVE-1999-0894
Allaire ColdFusion 4.0x CFCACHE功能泄露信息漏洞,CNNVD-200001-014,2000-01-04,2005-05-02,高危,授权问题,Allaire ColdFusion是一个用来增强Web交互功能的组件。 ColdFusion 4.x包含一个叫做CFCACHE的功能，它通过储存HTML处理CFM页的输出来提高服务器的性能。 当CFCACHE标签处理CFM页面时，它创建一些临时文件，其中一些文件是.tmp文件，其中包含了当前的HTML输出。同时它也创建一个名为cfcache.map的文件，其中包含了到.tmp文件的指针，内容有绝对路径、时间信息和其他URL信息。这些信息如果暴露出来可以造成潜在的危害。 这些文件都放在同一个目录，并且可以通过外部的URL进行远程访问。,CVE-2000-0057
Winamp Playlist漏洞,CNNVD-200001-008,2000-01-04,2005-10-20,高危,授权问题,Winamp客户端存在缓冲区溢出漏洞。远程攻击者可以借助.pls文件中的超长入口执行命令。,CVE-2000-0049
Zope DTML编辑漏洞,CNNVD-200001-011,2000-01-04,2005-05-02,超危,授权问题,Z Object Publishing Environment(Zope)中DTML执行存在漏洞。远程攻击者可以利用此漏洞控制未授权的活动。,CVE-2000-0062
Microsoft Internet Explorer 缓冲区错误漏洞,CNNVD-200001-010,2000-01-04,2021-07-26,低危,缓冲区错误,Microsoft Internet Explorer（IE）是美国微软（Microsoft）公司的一款Windows操作系统附带的Web浏览器。 Microsoft Internet Explorer 4.0版本借助EMBED标签存在缓冲区错误漏洞。,CVE-1999-0876
Allaire Spectra数据索引DoS漏洞,CNNVD-200001-009,2000-01-04,2005-05-02,低危,授权问题,Allaire Spectra Configuration Wizard存在漏洞。远程攻击者可以借助URL反复提交索引数据采集导致拒绝服务。,CVE-2000-0051
Hotmail代码执行漏洞,CNNVD-200001-013,2000-01-04,2022-08-18,高危,其他,Hotmail存在安全漏洞，该漏洞源于Hotmail不能从用户的邮箱中正确过滤JavaScript代码。远程攻击者可以借助IMG标签中的LOWSRC或DYNRC参数执行代码。,CVE-2000-0085
Microsoft CIS IMAP缓冲区溢出漏洞,CNNVD-200001-017,2000-01-04,2005-05-02,中危,授权问题,Microsoft Commercial Internet System (MCIS) IMAP服务器存在漏洞。远程攻击者可以借助畸形的IMAP请求导致拒绝服务。,CVE-2000-0053
Handspring Visor Network HotSync漏洞,CNNVD-200001-020,2000-01-05,2005-10-20,低危,授权问题,Handspring Visor中的Network HotSync程序没有认证。远程攻击者可以利用此漏洞恢复电子邮件和文件。,CVE-2000-0058
IMail IMonitor status.cgi DoS漏洞,CNNVD-200001-019,2000-01-05,2005-05-02,低危,授权问题,IMail IMONITOR status.cgi CGI脚本存在漏洞。远程攻击者可以利用此漏洞导致含有status.cgi调用的拒绝服务。,CVE-2000-0056
Phorum 3.0.7 auth.php3验证模块存在后门漏洞,CNNVD-200012-205,2000-01-06,2005-10-20,低危,授权问题,"Phorum是Phorum团队开发的一套基于PHP和MySQL的开源论坛应用程序。 Phorum的auth.php3是其它文件的访问控制模块，auth.php3存在一个通用口令，远程攻击者只需在URL里加上PHP_AUTH_USER=boogieman就可以使用""boogieman""通过auth.php3的验证访问受保护的文件。 远程攻击者可以利用这个漏洞获得对Phorum的控制，并且可以结合Phorum的其它漏洞访问系统的本地文件。",CVE-2000-1230
Phorum admin.php3无需验证修改管理员口令漏洞,CNNVD-200012-199,2000-01-06,2005-10-20,低危,授权问题,"Phorum是Phorum团队开发的一套基于PHP和MySQL的开源论坛应用程序。 Phorum存在一个问题，远程攻击者可以访问本地系统文件。 admin.php3脚本用于安全和管理被创建的论坛。它带有口令保护，但存在漏洞可以无需访问权限修改管理员口令。一旦拥有了管理功能的访问权限，就可以进入""Master Setting""功能，在""default .langfile name""输入框输入想要访问的系统本地文件，重新载入admin.php3页面后就可以浏览这个文件的内容了。",CVE-2000-1228
WarFTPd多个Macro漏洞,CNNVD-200001-023,2000-01-06,2005-05-02,超危,授权问题,War FTP 1.70版本和 1.67b2版本中Macros存在漏洞。本地和远程攻击者利用此漏洞可以读取任意文件或执行命令。,CVE-2000-0044
Solaris chkperm缓冲区溢出漏洞,CNNVD-200001-022,2000-01-06,2005-10-20,高危,授权问题,Solaris chkperm命令存在缓冲区溢出漏洞。本地用户可以借助超长-n选项提升根权限。,CVE-2000-0055
CuteFTP 安全漏洞,CNNVD-200001-021,2000-01-06,2022-08-18,低危,其他,CuteFTP 存在安全漏洞，该漏洞源于使用弱加密存贮tree.dat文件中的密码信息。,CVE-2000-0084
Apache 安全漏洞,CNNVD-200210-252,2000-01-07,2021-06-07,低危,其他,Apache是一款开放源代码WEB服务程序。Apache中存在信息泄漏漏洞，起因是对CGI脚本执行了不充分的检查。仅在对文件夹启用了WebDAV和CGI的情况下才会出现这个漏洞。攻击者可以通过向CGI脚本发送POST请求来利用这个漏洞。由于WebDAV和CGI脚本之间不正确的交互，可能导致Web server向远程攻击者返回CGI脚本的内容。,CVE-2002-1156
Microsoft Internet Explorer 安全漏洞,CNNVD-200001-024,2000-01-07,2021-07-26,超危,其他,Microsoft Internet Explorer（IE）是美国微软（Microsoft）公司的一款Windows操作系统附带的Web浏览器。 Microsoft Internet Explorer存在安全漏洞。Internet Explorer 5无法修改正在加载到一个窗口的安全区，直到加载完成。当文件正在加载时，远程攻击者利用此漏洞可以在不同的安全环境中执行Javascript。,CVE-2000-0061
Linux lpr line printer daemon特权提升漏洞。,CNNVD-200001-025,2000-01-08,2005-10-20,超危,授权问题,多个Linux操作系统lpr包中的line printer daemon (lpd)存在漏洞。本地用户通过发送邮件执行任意命令行参数提升根特权，已经证明的如使用-C选项指定配置文件。,CVE-2000-1220
多个供应商lpd漏洞,CNNVD-200001-026,2000-01-08,2009-02-28,超危,授权问题,多个Linux操作系统lpr包中的line printer daemon (lpd)通过对比本地机器的反向解析主机名和由gethostname返回的打印服务器的主机名进行认证。远程攻击者通过修改攻击IP的DNS绕过预定的访问控制。,CVE-2000-1221
Microsoft Hotmail 安全漏洞,CNNVD-200312-510,2000-01-10,2022-08-18,超危,其他,Microsoft Hotmail存在安全漏洞，该漏洞源于无法正确过滤用户邮箱中的JavaScript代码。远程攻击者利用该漏洞通过使用十六进制代码来指定javascript: protocol来执行代码。,CVE-2000-0081
ICQ URL远程缓冲区溢出漏洞,CNNVD-200001-028,2000-01-10,2005-10-20,高危,授权问题,ICQ 99b 1.1.1.1版本的客户端存在缓冲区溢出漏洞。远程攻击者可以借助ICQ消息中一个畸形的URL执行命令。,CVE-2000-0046
AIX techlibss符号链接漏洞,CNNVD-200001-027,2000-01-10,2005-05-02,低危,其他,AIX techlibss存在漏洞。本地用户可以借助符号链接攻击覆盖文件。,CVE-2000-0080
CyberCash Merchant Connection Kit 安全漏洞,CNNVD-200001-030,2000-01-11,2022-08-18,低危,其他,CyberCash Merchant Connection Kit (MCK)存在安全漏洞。本地用户可以借助符号链接攻击修改文件。,CVE-2000-0067
Oracle MySQL 安全漏洞,CNNVD-200001-029,2000-01-11,2019-10-25,中危,其他,Oracle MySQL是美国甲骨文（Oracle）公司的一套开源的关系数据库管理系统。 Oracle MySQL中存在安全漏洞。本地攻击者可借助GRANT特权利用该漏洞修改任意MySQL用户的密码。,CVE-2000-0045
