Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
Opera 安全漏洞,CNNVD-201301-023,2013-01-04,2013-01-04,中危,其他,Opera是挪威欧朋（Opera Software）公司所开发的一款Web浏览器，它支持多窗口浏览、可定制用户界面等。 Opera 12.12之前版本中存在漏洞。通过高速率的HTTP请求，远程攻击者利用该漏洞伪造地址栏。,CVE-2012-6471
MoinMoin ‘theme/__init__.py’ rsslink函数跨站脚本漏洞,CNNVD-201301-031,2013-01-04,2013-01-04,中危,跨站脚本,MoinMoin是一套开源的、可扩展的基于Python环境的wiki引擎程序。 MoinMoin 1.9.5版本中的theme/__init__.py中的rsslink函数中存在跨站脚本漏洞。通过rss链接中的页面名称，远程攻击者利用该漏洞注入任意web脚本或HTML。,CVE-2012-6082
MediaWiki RSS Reader扩展跨站脚本漏洞,CNNVD-201301-005,2013-01-04,2013-01-04,中危,跨站脚本,MediaWiki是美国维基媒体（Wikimedia）基金会和MediaWiki志愿者共同开发维护的一套自由免费的基于网络的Wiki引擎，它可用于部署内部的知识管理和内容管理系统。 MediaWiki中的RSS Reader扩展0.2.6之前版本中存在跨站脚本漏洞。通过特制的订阅，远程攻击者利用该漏洞注入任意web脚本或HTML。,CVE-2012-6453
Samsung Galaxy Android设备Track My Mobile功能设计错误漏洞,CNNVD-201301-001,2013-01-04,2013-01-08,低危,授权问题,Samsung Galaxy是韩国三星（Samsung）公司发布的系列智能移动设备。 Samsung Galaxy设备的Android系统中的SamsungDive子系统中的Track My Mobile功能中存在漏洞。该漏洞源于程序没有正确实现Location APIs。通过‘常见又好用GPS位置欺骗器’，物理邻近的攻击者利用该漏洞提供任意位置数据。,CVE-2012-6334
Lookout Missing Device功能安全漏洞,CNNVD-201301-003,2013-01-04,2013-01-08,低危,授权问题,Lookout是一套用于安卓平台下可对手机进行跟踪定位的应用。 Lookout中的Missing Device功能中存在漏洞。通过‘常见又好用的GPS定位欺骗器’，物理邻近的攻击者利用该漏洞提供任意位置数据。,CVE-2012-6336
Opera 未明安全漏洞,CNNVD-201301-012,2013-01-04,2013-01-04,中危,其他,Opera是挪威欧朋（Opera Software）公司所开发的一款Web浏览器，它支持多窗口浏览、可定制用户界面等。 Opera 11.67之前版本以及12.02之前的12.x版本中存在漏洞。通过特制的网站，远程攻击者利用该漏洞导致截断会话，可能触发下载和执行任意程序。,CVE-2012-6460
MoinMoin ‘_do_attachment_move’函数路径遍历漏洞,CNNVD-201301-029,2013-01-04,2013-01-04,中危,路径遍历,MoinMoin是一套开源的、可扩展的基于Python环境的wiki引擎程序。 MoinMoin 1.9.3至1.9.5版本中的AttachFile操作(action/AttachFile.py)中的_do_attachment_move函数中存在目录遍历漏洞。通过文件名中的‘..’，远程攻击者利用该漏洞重写任意文件。,CVE-2012-6080
MoinMoin 多个未限制文件上传漏洞,CNNVD-201301-030,2013-01-04,2013-01-05,高危,其他,MoinMoin是一套开源的、可扩展的基于Python环境的wiki引擎程序。 MoinMoin 1.9.6之前版本中的(1)twikidraw(action/twikidraw.py)和(2)anywikidraw(action/anywikidraw.py)操作中存在多个未限制文件上传漏洞。通过上传可执行文件，并随后对其发送直接访问请求，远程认证攻击者利用这些漏洞以可写权限执行任意代码。,CVE-2012-6081
Opera 代码注入漏洞,CNNVD-201301-017,2013-01-04,2013-01-05,中危,代码注入,Opera是挪威欧朋（Opera Software）公司所开发的一款Web浏览器，它支持多窗口浏览、可定制用户界面等。 Opera 12.10之前版本中存在漏洞。通过畸形的SVG图像，远程攻击者利用该漏洞执行任意代码或导致拒绝服务（应用程序崩溃）。,CVE-2012-6465
WordPress WP PHP widget插‘ wp-php-widget.php’脚本信息泄露漏洞,CNNVD-201301-025,2013-01-04,2013-01-04,中危,信息泄露,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。 WordPress中的WP PHP widget插件1.0.2版本中的wp-php-widget.php脚本中存在漏洞。通过揭示错误消息中完整路径的直接请求，远程攻击者利用该漏洞获得敏感信息。,CVE-2013-0721
Samsung Galaxy SamsungDive子系统Track My Mobile功能信息泄露漏洞,CNNVD-201301-004,2013-01-04,2013-01-08,低危,信息泄露,Samsung Galaxy是韩国三星（Samsung）公司发布的系列智能移动设备。 Samsung Galaxy设备的Android系统中的SamsungDive子系统中的Track My Mobile功能中存在漏洞。该漏洞源于程序显示了远程追踪的激活信息。通过篡改此功能或其定位数据，物理邻近的攻击者可利用该漏洞使恢复出厂设置功能失效。,CVE-2012-6337
Opera 缓冲区溢出漏洞,CNNVD-201301-022,2013-01-04,2013-01-05,中危,授权问题,Opera是挪威欧朋（Opera Software）公司所开发的一款Web浏览器，它支持多窗口浏览、可定制用户界面等。 Opera 12.12之前版本中存在漏洞，该漏洞源于没有正确为GIF图像分配内存。通过畸形的图像，远程攻击者利用该漏洞执行任意代码或导致拒绝服务（内存覆盖）。,CVE-2012-6470
Drupal Nodewords: D6 Meta Tags模块信息泄露漏洞,CNNVD-201301-027,2013-01-04,2013-01-05,中危,信息泄露,Drupal是Drupal社区所维护的一套用PHP语言开发的免费、开源的内容管理系统。 Drupal中的Nodewords: D6 Meta Tags模块6.x-1.14之前版本中存在漏洞，在被设置为自动从节点文本中生成description元标签的条件下，程序在新建标签时没有正确过滤节点内容。通过读取(1)description(2)dc.description或(3)og:description元标签，远程攻击者利用该漏洞获得敏感信息。,CVE-2012-5654
Drupal 文件上传功能输入验证漏洞,CNNVD-201301-026,2013-01-04,2013-01-04,中危,授权问题,Drupal是Drupal社区所维护的一套用PHP语言开发的免费、开源的内容管理系统。 Drupal 6.27之前的6.x版本和7.18之前的7.x版本中的文件上传功能中存在漏洞。通过文件名中的空字节，远程认证攻击者利用该漏洞绕过保护机制并执行任意PHP代码。,CVE-2012-5653
