Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
LScube Feng RTSP_valid_response_msg函数缓冲区溢出漏洞,CNNVD-200801-024,2008-01-03,2008-01-03,高危,授权问题,LScube Feng 0.1.15及之前版本中RTSP_state_machine.c包含的RTSP_valid_response_msg函数存在多个缓冲区溢出。远程攻击者可以通过(1)提供特殊构建的应答报文(第一行超长)执行任意代码，如示例中超长的VER行，或者(2)中演示的应答报文中超长的第二行，即示例中的在RETURN行之后的那条消息。,CVE-2007-6626
Novell IDM Fan-Out驱动平台服务拒绝服务攻击漏洞,CNNVD-200801-011,2008-01-03,2008-01-03,低危,授权问题,Novell IDM 3.5.1中的平台服务程序允许远程攻击者借助未确认的网络流量引起拒绝服务攻击。该网络流量会产生包含一串无效字符的分类符。,CVE-2007-6625
Joomla! 用户权限提升漏洞,CNNVD-200801-034,2008-01-03,2008-01-03,中危,授权问题,"Joomla!是一套在国外相当知名的内容管理系统 (Content Management System, CMS)。 Joomla!中存在未明漏洞。远程授权用户可以通过未明向量获得特权。即""注册用户特权扩大漏洞""。",CVE-2007-6645
LScube Feng拒绝服务攻击漏洞,CNNVD-200801-016,2008-01-03,2008-01-03,中危,授权问题,LScube Feng 0.1.15以及更早版本的解释冲突允许远程攻击者发起拒绝服务攻击(NULL废弃和守护进程崩溃)，此拒绝服务攻击时借助一个用户-代理页眉线造成服务拒绝。该页眉线有回车符，当页眉被分成单独的行时，它被认为是分隔符；当RTSP_utils.c中的注册-用户-代理求解用户-代理行的内容时，它就不被认为是分隔符。,CVE-2007-6629
LScube libnemesi多个缓冲溢出漏洞,CNNVD-200801-015,2008-01-03,2008-01-03,高危,授权问题,LScube libnemesi 0.6.4-rc1以及更早版本中存在多个缓冲溢出漏洞。远程攻击者可以通过以下几种方式来执行任意的代码： (1)在rtsp_handlers.c下的handle_rtsp_pkt中引起溢出的初始具有很长字符的回复， (2)在发送停止请求、发送开始请求、发送安装请求、发送安装请求中引起溢出的长页眉， (3)在get_transport_str_sctp、get_transport_str_sctp、get_transport_str_udp中引起溢出的一个长的Transport页眉。,CVE-2007-6631
FAQMasterFlexPlus 'faq.php'多个SQL注入漏洞,CNNVD-200801-007,2008-01-03,2008-01-03,高危,SQL注入,FAQMasterFlexPlus存在多个SQL注入漏洞。远程攻击者通过向faq.php脚本的category_id参数以及涉及其它脚本的未明向量，执行任意的SQL命令。,CVE-2007-6634
DivX Player缓冲区错误漏洞,CNNVD-200801-037,2008-01-03,2021-07-27,中危,缓冲区错误,DivX Player是Divx的一个播放器。 DivX Player 6.6.0版本下的npUpload.dll中的某一个ActiveX控件允许远程攻击者借助设置密码的方式来引起拒绝服务攻击或者IE7的崩溃。,CVE-2008-0090
ClipShare 'uprofile.php' SQL注入漏洞,CNNVD-200801-036,2008-01-03,2008-09-05,高危,SQL注入,ClipShare中的脚本uprofile.php中存在SQL注入漏洞。远程攻击者可以借助UID参数，执行任意的SQL命令。,CVE-2008-0089
MaraDNS 拒绝服务攻击漏洞,CNNVD-200801-003,2008-01-03,2008-09-05,中危,授权问题,MaraDNS是一款开放源代码的DNS服务程序。 MaraDNS处理畸形报文存在设计问题，远程攻击者可以利用构造畸形的DNS报文对应用程序进行拒绝服务攻击。受此漏洞影响的软件漏洞的版本为低于MaraDNS 1.0.41的所有主版本为1.0的软件，低于1.2.12.08的所有主版本为1.2，低于1.3.07.04的所有主版本为1.3的软件。,CVE-2008-0061
Agares Media phpAutoVideo 目录遍历漏洞,CNNVD-200801-481,2008-01-03,2008-01-03,中危,代码注入,Agares Media phpAutoVideo是一套用PHP实现的基于Web的视频网站应用程序。 Agares Media phpAutoVideo 2.21版本的includes/block.php文件中存在目录遍历漏洞。远程攻击者可借助‘selected_provider’参数中的目录遍历字符利用该漏洞包含并执行任意本地文件。,CVE-2007-6615
