Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
Apple Quicktime RTSP畸形URL处理缓冲区溢出漏洞,CNNVD-200701-001,2007-01-01,2007-01-25,高危,授权问题,"Apple QuickTime是一款流行的多媒体播放器，支持多种媒体格式。 Apple QuickTime在处理畸形的RTSP协议URL时存在缓冲区溢出漏洞，远程攻击者可能利用此漏洞在用户机器上执行任意指令。Apple QuickTime在处理带超长""src""参数的RTSP协议的URL串时存在栈缓冲区溢出漏洞，远程攻击者可以通过构造类似""rtsp://[any character]:[>256 bytes]""的URL串诱使用户点击，系统调用QuickTime处理时导致溢出发生，执行攻击者的任意指令。",CVE-2007-0015
CA BrightStor ARCServe BackUp LGServer 缓冲区错误漏洞,CNNVD-200702-031,2007-01-01,2021-04-08,中危,缓冲区错误,BrightStor ARCserve Backup可为各种平台的服务器提供备份和恢复保护功能。 BrightStor ARCserve Backup处理带有畸形参数的请求报文时存在漏洞，远程攻击者可能利用此漏洞导致进程崩溃。 在认证协商期间客户端报文中的16进制地址(DWORD)0x11到0x14上的第三个客户端报文指定了数据长度。如果能够将这个值设置为0xff 0xff 0xff 0xff的话就会导致出现访问破坏，终止进程。,CVE-2007-0673
MoviePlay LST文件处理缓冲区溢出漏洞,CNNVD-200701-003,2007-01-02,2007-01-03,高危,授权问题,MoviePlay 是一款实用的媒体播放程序。 MoviePlay 4.76版本中存在栈缓冲区溢出漏洞。远程攻击者可以借助LST文件中的一个过长的文件名，执行任意代码。,CVE-2007-0016
"VLC Media Player畸形""udp://""URI格式串处理漏洞",CNNVD-200701-002,2007-01-02,2007-01-15,高危,授权问题,"VideoLAN VLC media player是法国VideoLAN组织开发的一款免费、开源的跨平台多媒体播放器（也是一个多媒体框架）。该产品支持播放多种介质（文件、光盘等）、多种音视频格式（WMV, MP3等）等。 VLC Media Player在处理畸形的URI串时存在漏洞，远程攻击者可能利用此漏洞在用户机器上执行任意指令。VLC Media Player在处理""udp://""开头的URI串时存在格式串处理漏洞，远程攻击者可能利用此漏洞通过诱使用户访问恶意网页或打开恶意M3U文件控制用户机器。",CVE-2007-0017
Adobe Acrobat Reader Plugin拒绝服务漏洞,CNNVD-200701-008,2007-01-03,2009-02-05,低危,授权问题,Adobe Acrobat Reader是Adobe公司开发的一款优秀的PDF文档阅读软件。 当和IE浏览器，Google Chrome或Opera一起使用时，Adobe Acrobat Reader Plugin 8.0.0之前版本中存在拒绝服务漏洞。远程攻击者可借助添加到PDF URL的#字符的超长序列，导致拒绝服务（内存消耗）。,CVE-2007-0048
Adobe Acrobat Reader Plugin 跨站脚本攻击漏洞,CNNVD-200701-004,2007-01-03,2007-05-14,高危,跨站请求伪造,"Adobe Acrobat Reader是Adobe公司开发的一款优秀的PDF文档阅读软件。 用于Firefox，Internet Explorer和Opera web浏览器的Adobe Acrobat Reader Plugin 8.0.0的之前版本中存在跨站脚本攻击漏洞。远程攻击者可以借助(1)FDF,(2)xml,和(3)xfdf AJAX请求参数中的一个URL，强制浏览器向其他网站发送未授权的请求。",CVE-2007-0044
Adobe Acrobat Reader Plugin 双重释放漏洞,CNNVD-200701-007,2007-01-03,2007-01-04,高危,授权问题,"Adobe Acrobat Reader是Adobe公司开发的一款优秀的PDF文档阅读软件。 当在Mozilla Firefox 1.5.0.7中使用时，Adobe Acrobat Reader Plugin 8.0.0之前版本中存在双重释放漏洞。远程攻击者可以借助一个对(1)FDF,(2)XML或(3)XFDF AJAX请求参数中document.write的javascript:URI呼叫，来造成一个错误，从而执行任意代码。",CVE-2007-0046
Adobe Acrobat Reader Plugin多个跨站脚本攻击漏洞,CNNVD-200701-005,2007-01-03,2009-02-05,高危,跨站脚本,Adobe Acrobat Reader是Adobe公司开发的一款优秀的PDF文档阅读软件。 基于Windows平台，用于Mozilla Firefox，Microsoft Internet Explorer 6 SP1，Google Chrome，Opera 8.5.4 build 770和Opera 9.10.8679的Adobe Acrobat Reader Plugin 8.0.0之前版本中存在多个跨站脚本攻击漏洞。远程攻击者可借助带有javascript的.pdf URL或带有FDF，XML和XFDF AJAX参数的res: URI或任意命名的name=URI锚标识符，注入任意web脚本或HTML。,CVE-2007-0045
Adobe Acrobat Reader Plugin 多个CRLF跨站脚本伪造攻击漏洞,CNNVD-200701-006,2007-01-03,2007-07-05,中危,授权问题,"Adobe Acrobat Reader是Adobe公司开发的一款优秀的PDF文档阅读软件。 Adobe Acrobat Reader Plugin 8.0.0之前版本中存在CRLF注入攻击漏洞。当和Microsoft.XMLHTTP ActiveX object一起在Internet Explorer中使用时，远程攻击者可以借助(1)FDF,(2)XML或(3)XFDF AJAX请求参数中的javascript:URI里的CRLF序列，注入任意的HTTP头和执行HTTP响应进行攻击。",CVE-2007-0047
Cisco Clean Access 身份认证key未授权访问漏洞,CNNVD-200701-009,2007-01-04,2007-01-05,高危,授权问题,"Cisco Clean Access (CCA)是一种用于自动检测、隔离、清除受恶意代码感染的设备访问网络的软件解决方案。 Cisco Clean Access (CCA)没有正确的配置或允许修改一个共享的秘密身份认证key，这会使得所有驱动程序拥有同一个共享的秘密,远程攻击者可以获得未授权访问。",CVE-2007-0057
Apple iLife iPhoto PhotoCast XML远程格式串处理漏洞,CNNVD-200701-014,2007-01-04,2007-08-07,中危,授权问题,"Apple iLife iPhoto软件允许用户在网站上制作并分享照片页面。 iLife iPhoto在处理Photocast XML feed时存在格式串处理漏洞，远程攻击者可能利用此漏洞在用户机器上执行任意指令。如果Photocast XML feed的""title""标签包含有特制的格式串标识符的话，则用户受骗订阅了该Photocast feed就会导致在客户端机器上执行任意指令。",CVE-2007-0051
Geckovich TaskTracker Pro 'Customize.asp' 未授权访问漏洞,CNNVD-200701-012,2007-01-04,2007-07-05,高危,授权问题,TaskTracker是一款基于ASP的WEB应用程序。 Geckovich TaskTracker Pro 1.5及之前版本允许远程攻击者借助一个对Customize.asp的直接请求中的带有畸形群组ID的添加操作，添加管理员或其他帐户。,CVE-2007-0049
Formbankserver 'formbankcgi.exe/AbfrageForm' 目录遍历漏洞,CNNVD-200701-010,2007-01-04,2007-01-05,低危,路径遍历,Formbankserver 1.9版本中的formbankcgi.exe/AbfrageForm存在目录遍历漏洞。远程攻击者可以借助名字参数中的目录序列，来读取任意文件。,CVE-2007-0055
ASP SiteWare autoDealer 'detail.asp' SQL注入漏洞,CNNVD-200701-019,2007-01-04,2007-01-05,高危,SQL注入,ASP SiteWare autoDealer 2.0及之前版本的detail.asp中存在SQL注入漏洞。远程攻击者可以借助iPro参数，执行任意的SQL指令。,CVE-2007-0053
OpenPinboard 'index.php' PHP远程文件包含漏洞,CNNVD-200701-018,2007-01-04,2007-01-10,高危,授权问题,OpenPinboard 2.0版本的index.php中存在PHP远程文件包含漏洞。远程攻击者可以借助语言参数中的一个URL，执行任意的PHP代码。,CVE-2007-0050
Cisco Clean Access 安全绕过漏洞,CNNVD-200701-017,2007-01-04,2007-07-05,低危,信息泄露,Cisco Clean Access (CCA)是一种用于自动检测、隔离、清除受恶意代码感染的设备访问网络的软件解决方案。 Clean Access Manager (CAM)上的Cisco Clean Access (CCA)远程攻击者可以通过使用暴力破解猜测出抽点打印文件名，然后再对该文件进行一个直接请求，来绕过身份认证和下载任意的手动数据库备份。,CVE-2007-0058
AShop Deluxe 多个跨站脚本攻击漏洞,CNNVD-200701-013,2007-01-04,2007-01-05,低危,跨站脚本,AShop Deluxe是一款基于PHP的WEB应用程序。 AShop Deluxe 4.5和AShop管理面板中存在多个跨站脚本攻击漏洞。远程攻击者可以借助提交到(a)ashop/catalogue.php和(b)ashop/basket.php的(1)cat参数，到ashop/catalogue.php的(2)exp参数，到(c)ashop/search.php的(3)搜索字符串参数，到ashop/shipping.php的(4)检查和(5)操作参数，到(f)cart-path/admin/editcatalogue.php的cat参数以及到(g)cart-path/admin/salesadmin.php的(7)结果页参数，来注入任意的web脚本或HTML。,CVE-2007-0056
Apple Quicktime HREF Track(HREFTrack)跨站脚本攻击漏洞,CNNVD-200701-015,2007-01-04,2007-01-15,中危,授权问题,Apple QuickTime是美国苹果（Apple）公司开发的一款多媒体播放软件。该软件能够处理数字视频、媒体段落等多种资源。 Apple Quicktime 3到7.1.3版本中存在跨站脚本攻击漏洞。远程攻击者可以借助一个带有HREF Track(HREFTrack)的QuickTime电影(.MOV)，来执行任意代码和列出文件系统内容。该HREF Track(HREFTrack)包含一个带有本地URI的自动操作标签。通过利用一个MySpace蠕虫，可以在预览过程中在本地储存区运行它。,CVE-2007-0059
Vizayn Haber 'haberdetay.asp' SQL注入漏洞,CNNVD-200701-016,2007-01-04,2007-01-05,高危,SQL注入,Vizayn Haber的 haberdetay.asp中存在SQL注入漏洞。远程攻击者可以借助ID参数，执行任意的SQL指令。,CVE-2007-0052
Belchior Foundry vCard PRO 'gbrowse.php' 跨站脚本攻击漏洞,CNNVD-200701-011,2007-01-04,2007-01-05,低危,跨站脚本,Belchior Foundry vCard PRO的gbrowse.php中存在跨站脚本攻击漏洞。远程攻击者可以借助sortby参数，注入任意的web脚本或HTML。,CVE-2007-0054
Kerio可注入伪造iphlpapi DLL漏洞,CNNVD-200701-037,2007-01-05,2007-01-15,高危,授权问题,Kerio Personal Firewall是一款个人桌面系统防火墙。 Kerio Personal Firewall处理程序相关组件的加载时存在漏洞，本地攻击者可能利用此漏洞提升权限或使防火墙失效。Kerio Personal Firewall在加载相关的库文件iphlpapi.dll时，首先从软件的安装目录搜索，如果搜索不到才从操作系统目录加载，而且软件的安装目录是可写的，本地攻击者可以创建伪造的DLL文件，防火墙服务在初始化时加载执行其中的代码，导致执行攻击者的任意指令。,CVE-2007-0081
rblog 'admin.mdb'和'rblog.mdb' 访问控制漏洞,CNNVD-200701-021,2007-01-05,2007-07-05,低危,授权问题,rblog在web根下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对(1)data/admin.mdb或(2)data/rblog.mdb的直接请求，下载一个数据库。,CVE-2007-0079
AspBB 'aspbb.mdb'远程密码破解漏洞,CNNVD-200701-031,2007-01-05,2007-01-15,低危,授权问题,AspBB在web根下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对db/aspbb.mdb的直接请求，下载一个包含用户密码的数据库。,CVE-2007-0075
Apache HTTP服务器Range拒绝服务攻击漏洞,CNNVD-200701-039,2007-01-05,2021-04-22,高危,资源管理错误,当被一个拥有大的窗口尺寸的TCP连接访问时，Apache HTTP服务器存在拒绝服务漏洞，远程攻击者可以借助一个Range头，引起拒绝服务攻击(网络带宽耗尽)。该Range头会详细说明同一个片段的多个拷贝。,CVE-2007-0086
Nuked Klan 远程Cookie破解漏洞,CNNVD-200701-026,2007-01-05,2007-01-15,中危,跨站脚本,"Nuked Klan 1.7及之前版本中存在跨站脚本攻击漏洞。远程攻击者可以借助.wsf文件中的getURL语句里的一个javascript:URI，来注入任意的web脚本或HTML。又称""远程cookie破解""。",CVE-2007-0083
Windows NT Message Compiler MC 缓冲区溢出漏洞,CNNVD-200701-027,2007-01-05,2007-01-15,中危,授权问题,Microsoft Windows XP上的Windows NT Message Compiler(MC)1.00.5239中存在缓冲区溢出漏洞。本地用户可以借助一个过长的MC文件名，来获得特权。,CVE-2007-0084
jgbbs 'bbs.mdb' 信息泄露漏洞,CNNVD-200701-040,2007-01-05,2007-01-08,低危,授权问题,jgbbs在web根下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对b/bbs.mdb的直接请求，下载一个包含密码的数据库。,CVE-2007-0089
Sven Moderow GuestBook 远程密码破解漏洞,CNNVD-200701-024,2007-01-05,2007-01-08,高危,授权问题,Sven Moderow GuestBook 0.3a在web根目录下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对db/中的(1)gbook97.mdb或(2)gbook.mdb的直接请求，下载一个包含密码的数据库。,CVE-2007-0094
FreeRadius SMB_Connect_Server函数缓冲区溢出漏洞,CNNVD-200701-022,2007-01-05,2007-05-11,低危,授权问题,FreeRadius 1.1.3及之前版本的SMB_Connect_Server函数中存在缓冲区溢出漏洞。攻击者可以执行与SMB_Handle_Type事例的服务器desthost字段相关的任意代码。,CVE-2007-0080
BattleBlog 'blankmaster.mdb'权限许可和访问控制漏洞,CNNVD-200701-035,2007-01-05,2007-01-15,低危,授权问题,BattleBlog在web根下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对database/blankmaster.mdb的直接请求，下载一个数据库。,CVE-2007-0078
"Carbon Communities ""Carbon2.4d.mdb""远程信息破解漏洞",CNNVD-200701-029,2007-01-05,2007-07-05,低危,授权问题,CarbonCommunities在web根目录下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对DataBase/Carbon2.4d.mdb的直接请求，下载一个包含密码的数据库。,CVE-2007-0096
NewsCMSLite 'newsCMS.mdb' 信息破解漏洞,CNNVD-200701-042,2007-01-05,2007-01-08,低危,授权问题,newsCMSlite在web根下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对newsCMS.mdb的直接请求，下载一个包含密码的数据库。,CVE-2007-0091
Simple Web 'page.php' SQL注入漏洞,CNNVD-200701-036,2007-01-05,2007-07-05,高危,SQL注入,Simple Web内容管理系统的page.php中存在SQL注入漏洞。远程攻击者可以借助id参数，执行任意的SQL指令。,CVE-2007-0093
WineGlass 'db/data.mdb'访问控制漏洞,CNNVD-200701-020,2007-01-05,2007-01-08,高危,授权问题,WineGlass在web根下储存敏感信息而未赋予足够的访问限制，这使得远程攻击者可以借助一个对db/data.mdb的直接请求，下载一个包含密码的数据库。,CVE-2007-0090
Microsoft Internet Information Services Range拒绝服务漏洞,CNNVD-200701-041,2007-01-05,2007-07-05,高危,授权问题,当被一个带有大的窗口尺寸的TCP连接访问时，Microsoft Internet Information Services (IIS)存在拒绝服务漏洞，远程攻击者可以借助一个Range头，来引起拒绝服务攻击(网络带宽耗尽)。该Range头会详细说明同一个片段的多个拷贝。,CVE-2007-0087
VerliAdmin 'language.php'目录遍历漏洞,CNNVD-200701-023,2007-01-05,2007-01-08,中危,路径遍历,VerliAdmin 0.3及之前版本的language.php中存在目录遍历漏洞。当magic_quotes_gpc被禁用时，远程攻击者可以借助lang cookie中的..，包含和执行任意的本地文件。比如通过注入PHP序列到Apache HTTP服务器登录文件，就会触发该漏洞。,CVE-2007-0098
