Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
MantisBT 'upgrade_unattended.php'本地文件包含漏洞,CNNVD-201101-013,2011-01-04,2011-01-04,中危,路径遍历,"MantisBT是MantisBT团队的一套基于Web的开源缺陷跟踪系统。该系统以Web操作的形式提供项目管理及缺陷跟踪服务。 MantisBT 1.2.4之前版本中的admin/upgrade_unattended.php文件中存在目录遍历漏洞。远程攻击者可以借助db_type参数中的""..""操作符包含并执行任意本地文件。",CVE-2010-4350
Linux Kernel x25_parse_facilities()远程拒绝服务漏洞,CNNVD-201101-010,2011-01-04,2023-02-14,低危,数字错误,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 Linux kernel 2.6.36.2之前版本中的net/x25/x25_facilities.c文件中的x25_parse_facilities函数中存在多个整数溢出漏洞。远程攻击者可以借助畸形的X.25(1)X25_FAC_CLASS_A，(2)X25_FAC_CLASS_B，(3)X25_FAC_CLASS_C，或者(4)X25_FAC_CLASS_D设施数据导致拒绝服务(系统崩溃)。,CVE-2010-4164
Videolan VLC Media Player Demuxer远程拒绝服务漏洞,CNNVD-201101-007,2011-01-04,2011-02-23,中危,数字错误,"VideoLAN VLC media player是法国VideoLAN组织开发的一款免费、开源的跨平台多媒体播放器（也是一个多媒体框架）。该产品支持播放多种介质（文件、光盘等）、多种音视频格式（WMV, MP3等）等。 VLC Media Player在处理Real Media文件中的畸形Real demuxer数组时存在索引错误，通过引诱用户查看特制的Real Media文件，远程攻击者可利用此漏洞使受影响的应用程序崩溃，拒绝服务合法用户，控制用户的系统。",CVE-2010-3907
Linux kernel thinkpad_acpi.c文件资源管理错误,CNNVD-201101-002,2011-01-04,2023-02-14,低危,权限许可和访问控制问题,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 当使用X.Org X服务器时，ThinkPad设备的Linux kernel 2.6.34之前版本中的drivers/platform/x86/thinkpad_acpi.c文件没有正确限制对视频输出控制状态的访问。本地用户可以借助(1)读或者(2)写操作导致拒绝服务。,CVE-2010-3448
Linux kernel 输入验证错误漏洞,CNNVD-201101-008,2011-01-04,2023-04-25,低危,输入验证错误,Linux kernel是美国Linux基金会的开源操作系统Linux所使用的内核。 Linux kernel 2.6.36.2之前版本存在输入验证错误漏洞。本地用户可以借助对SCSI设备的特制输入输出控制导致拒绝服务(系统崩溃)。,CVE-2010-4162
WordPress KSES多个跨站脚本攻击漏洞,CNNVD-201101-015,2011-01-04,2011-01-04,中危,跨站脚本,KSES是一个由PHP编写的HTML/XHTML过滤器。 用于WordPress 3.0.4之前版本的KSES中存在多个跨站脚本攻击漏洞。远程攻击者可以借助和(1)&(号)字符，(2)属性名称的大小写，(3)填充项，以及(4)不规范化实体有关的向量注入任意web脚本或者HTML。,CVE-2010-4536
Linux Kernel net/子系统get_name函数本地信息泄露漏洞,CNNVD-201101-006,2011-01-04,2023-02-14,低危,信息泄露,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 Linux kernel 2.6.37-rc2之前版本中的net/tipc/socket.c文件中的get_name函数没有初始化某个结构体。本地用户可以通过读取该结构体的拷贝从内核栈内存中获取潜在敏感信息。,CVE-2010-3877
Linux Kernel net/子系统ax25_getname函数本地信息泄露漏洞,CNNVD-201101-004,2011-01-04,2023-02-14,低危,信息泄露,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 Linux kernel 2.6.37-rc2之前版本中的net/ax25/af_ax25.c文件中的ax25_getname函数没有初始化某个结构体。本地用户可以通过读取该结构体的拷贝，从内核栈内存中获取潜在敏感信息。,CVE-2010-3875
MHonArc HTML Mail Conversion跨站脚本攻击漏洞,CNNVD-201101-014,2011-01-04,2023-02-14,中危,跨站脚本,MHonArc是一款PERL语言编写的自动解析HTML形式邮件内容的程序，包括在处理过程中从HTML邮件中过滤有危险性的JavaScript标记等功能。 MHonArc 2.6.16版本中的lib/mhtxthtml.pl文件中存在跨站脚本攻击漏洞。远程攻击者可以借助SCRIPT元素的畸形开头和结尾标签注入任意web脚本或者HTML。,CVE-2010-4524
Linux Kernel 'x25_parse_facilities()'远程拒绝服务漏洞,CNNVD-201101-003,2011-01-04,2023-02-14,中危,缓冲区错误,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 Linux Kernel 'x25_parse_facilities()'存在设计错误，远程攻击者可以借助畸形的X25_FAC_CALLING_AE或者X25_FAC_CALLED_AE数据(与/x25/x25_facilities.c和net/x25/x25_in.c文件有关)导致拒绝服务(内存破坏及死机)或者可能产生其他未明影响。,CVE-2010-3873
MHonArc资源管理错误漏洞,CNNVD-201101-001,2011-01-04,2011-01-04,中危,资源管理错误,MHonArc是一款PERL语言编写的自动解析HTML形式邮件内容的程序，包括在处理过程中从HTML邮件中过滤有危险性的JavaScript标记等功能。 MHonArc 2.6.16版本中存在资源管理错误漏洞。远程攻击者可以借助置于其他开始标签中的开始标签导致拒绝服务(CPU消耗)。该漏洞已通过<body>dy>dy>dy>dy>序列得到证实。,CVE-2010-1677
Linux Kernel net/子系统CAP_NET_RAW功能信息泄露漏洞,CNNVD-201101-005,2011-01-04,2023-02-14,低危,信息泄露,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 Linux kernel 2.6.37-rc2之前版本中的net/packet/af_packet.c文件没有正确初始化某个结构体成员。本地用户可以通过利用CAP_NET_RAW功能读取某个可应用结构体的拷贝，从内核栈内存中获取潜在敏感信息。,CVE-2010-3876
MantisBT 'upgrade_unattended.php'信息泄漏漏洞,CNNVD-201101-012,2011-01-04,2011-01-04,中危,信息泄露,MantisBT是MantisBT团队的一套基于Web的开源缺陷跟踪系统。该系统以Web操作的形式提供项目管理及缺陷跟踪服务。 MantisBT 1.2.4之前版本中的admin/upgrade_unattended.php文件中存在信息泄露漏洞。远程攻击者可以借助无效db_type参数(在错误消息中显示了安装路径)获取敏感信息。该漏洞与MantisBT不安全调用基于PHP的ADOdb库中的某个函数有关。,CVE-2010-4349
Linux kernel blk_rq_map_user_iov函数资源管理错误漏洞,CNNVD-201101-016,2011-01-04,2020-08-13,低危,资源管理错误,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 Linux kernel 2.6.37-rc7之前版本中的block/blk-map.c文件中的blk_rq_map_user_iov函数中存在资源管理错误漏洞。本地用户可以借助在对SCSI设备输入输出控制中的零长度I/O请求导致拒绝服务(死机)。,CVE-2010-4668
Linux kernel blk_rq_map_user_iov函数资源管理错误漏洞,CNNVD-201101-009,2011-01-04,2023-02-14,低危,输入验证错误,Linux kernel是美国Linux基金会发布的开源操作系统Linux所使用的内核。NFSv4 implementation是其中的一个分布式文件系统协议。 Linux kernel 2.6.36.2之前版本中的block/blk-map.c文件中的blk_rq_map_user_iov函数中存在资源管理错误漏洞。本地用户可以借助SCSI设备输入输出控制中的零长度I/O请求导致拒绝服务(死机)。,CVE-2010-4163
