Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
WordPress Js-appointment 'searchdata.php' SQL注入漏洞,CNNVD-201108-495,1900-01-01,2011-08-31,,SQL注入,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。 WordPress的Js-appointment插件的searchdata.php中存在SQL注入漏洞。由于用户提供的数据在被用于SQL查询之前没有经过充分过滤，远程攻击者可利用该漏洞访问或者修改数据。,null
Vopium信息泄露漏洞,CNNVD-201202-011,1900-01-01,2012-02-06,,信息泄露,Vopium中存在信息泄露漏洞。攻击者可利用此漏洞通过中间人攻击获得对应用程序凭证的访问，攻击成功将导致其它攻击。,null
TYPO3 T3C Podcasts控件敏感信息泄露漏洞,CNNVD-201109-621,1900-01-01,2011-09-30,,授权问题,Typo3是基于PHP和MySQL数据库的开源内容管理系统(CMS)和内容管理框架(CMF)的领导性品牌之一，是强大的开源解决方案。 TYPO3的T3C Podcasts控件1.0.3及之前版本中存在使攻击者从不受信任的资源增加web功能的安全漏洞。攻击者可利用该漏洞获取敏感信息。,null
Virtual Vertex Muster目录遍历漏洞,CNNVD-201111-499,1900-01-01,2011-12-01,,授权问题,Virtual Vertex Muster中存在目录遍历漏洞。该漏洞源于对用户提供的输入在提交给web界面前没有经过充分的过滤，攻击者利用该漏洞可在web服务器上下文中查看任意文件，获得的信息可能有助于发起进一步攻击。Virtual Vertex Muster 6.1.6版本中存在该漏洞，其他版本也可能受影响。,null
Savant Web Server缓冲区溢出漏洞,CNNVD-201201-379,1900-01-01,2012-02-01,,授权问题,Savant Webserver是一款运行在Win32下的开放源代码WEB服务程序。 Savant web server中存在缓冲区溢出漏洞。攻击者可利用该漏洞在受影响应用程序的上下文中执行任意代码，攻击失败将导致拒绝服务。Savant web server 3.1版本中存在该漏洞，其他版本也可能受到影响。,null
GNU glibc ‘svc_run()’ 函数拒绝服务漏洞,CNNVD-201201-198,1900-01-01,2013-05-03,中危,资源管理错误,glibc（又名GNU C Library，libc6）是一种按照LGPL许可协议发布的开源免费的C语言编译程序。 glibc 2.15之前的版本中的RPC实现中的‘svc_run’函数中存在漏洞。远程攻击者可通过大量的RPC连接利用该漏洞造成拒绝服务（CPU耗尽）。,CVE-2011-4609
SetSeed ‘loggedInUser’ SQL注入漏洞,CNNVD-201111-118,1900-01-01,2011-11-04,,SQL注入,SetSeed 5.8.20及其他版本中存在SQL注入漏洞。由于用户提供的数据在被用于SQL查询之前未经充分过滤，攻击者可利用该漏洞访问或修改数据。,null
Autonomy Keyview Ichitaro文本解析缓冲区溢出漏洞,CNNVD-201110-349,1900-01-01,2011-10-18,超危,授权问题,KeyView IDOL Viewing SDK可构建具有高保真度浏览和打印功能的应用程序，适用于文字处理、电子表格、演示、图形、多媒体、压缩和编码格式。 Autonomy Keyview在解析文本块时在实现上存在安全漏洞，恶意用户可利用此漏洞控制受影响系统。 此漏洞源于在解析文本块时，Ichitar快速阅读器(jtdsr.dll)中存在的边界错误，可被利用造成堆缓冲区溢出。,CVE-2011-0338
Microsoft Windows内核模式驱动程序Win32k.sys本地权限提升漏洞,CNNVD-201107-169,1900-01-01,2020-09-29,中危,其他,Microsoft Windows是美国微软（Microsoft）公司发布的一系列操作系统。 Microsoft Windows Vista SP1和SP2，Windows Server 2008 Gold，SP2，R2和R2 SP1，以及Windows 7 Gold和SP1版本的内核模式驱动程序中的win32k.sys在管理其对象指针的方式上存在权限提升漏洞。本地用户可借助触发空指针解引用的特制应用程序获得特权。,CVE-2011-1887
McAfee Web Gateway 跨站脚本攻击漏洞,CNNVD-201110-589,1900-01-01,2011-10-26,,跨站脚本,McAfee是非常著名的防病毒厂商，生产多种防病毒产品。 McAfee Web Gateway中存在跨站脚本攻击漏洞。由于该设备的web界面没有正确的过滤用户提供的输入，攻击者可利用该漏洞在受影响站点上下文中的受信任用户浏览器中执行任意脚本代码，并窃取基于cookie的认证证书，或发起其他攻击。,null
