Name,Vuln ID,Published,Modified,Severity,Vuln Type,Vuln Descript,CVE ID
Bugzilla ‘User.offer_account_by_email WebService’ 安全漏洞,CNNVD-201201-463,2012-01-02,2012-06-05,高危,授权问题,"Bugzilla是美国Mozilla基金会开发的一套开源的缺陷跟踪系统，它可管理软件开发中缺陷的提交（new）、修复（resolve）、关闭（close）等整个生命周期。 Bugzilla 2.x版本，3.4.13之前的3.x版本，3.5.x版本，3.6.7之前的3.6.x版本，3.7.x版本，4.0.3之前的4.0.x版本与4.1.x至4.1.3版本中的User.offer_account_by_email WebService方法中存在漏洞，该漏洞源于在发送帐户创建电子邮件之前没有检查""user_can_create_account""值。远程攻击者可利用该漏洞借助电子邮件消息中包含的令牌新建用户账户。",CVE-2011-3667
pfsense ‘status_rrd_graph.php’ 跨站脚本漏洞,CNNVD-201201-462,2012-01-03,2012-06-05,中危,跨站脚本,Electric Sheep Fencing pfsense是美国Electric Sheep Fencing公司的一套免费开源的基于FreeBSD的防火墙和路由器软件。 pfSense 2.0.1之前版本的status_rrd_graph.php中存在跨站脚本漏洞。远程攻击者可利用该漏洞借助style参数注入任意web脚本或者HTML。,CVE-2011-5047
Splunk跨站脚本漏洞,CNNVD-201201-007,2012-01-04,2012-01-04,中危,跨站脚本,Splunk是美国Splunk公司的一套数据收集分析软件。该软件主要用于收集、索引和分析机器产生的数据，包括所有IT系统和基础结构（物理、虚拟和云）生成的数据。 Splunk 4.2.5之前的4.2.x版本的Splunk Web中存在跨站脚本漏洞。远程攻击者可借助未明向量注入任意web脚本或者HTML。,CVE-2011-4778
IBM Web Experience Factory跨站脚本漏洞,CNNVD-201201-008,2012-01-04,2012-01-04,中危,跨站脚本,"IBM Web Experience Factory (又称为WEF, 以前的WebSphere Portlet Factory)7.0和7.0.1版本中存在多个跨站脚本漏洞。远程攻击者可借助（1）文本INPUT元素或者（2）TEXTAREA元素注入任意web脚本或者HTML。该漏洞与Smart Refresh和Dojo之间的互动有关。",CVE-2011-5048
Bugzilla多个跨站脚本漏洞,CNNVD-201201-001,2012-01-04,2012-01-04,中危,跨站脚本,Bugzilla是美国Mozilla基金会开发的一套开源的缺陷跟踪系统，它可管理软件开发中缺陷的提交（new）、修复（resolve）、关闭（close）等整个生命周期。 Bugzilla多个版本在使用调剂方式时存在多个跨站脚本漏洞。远程攻击者可借助与(1)tabular report，(2)graphical report，或者(3)new chart有关的向量注入任意web脚本或HTML。以下版本中存在该漏洞：Bugzilla2.x和3.4.13之前的3.x版本；3.5.x和3.6.7之前的3.6.x版本；3.7.x和4.0.3之前的4.0.x版本；以及4.1.x到4.1.3版本。,CVE-2011-3657
Splunk授权问题漏洞,CNNVD-201201-006,2012-01-04,2012-01-04,中危,授权问题,Splunk是美国Splunk公司的一套数据收集分析软件。该软件主要用于收集、索引和分析机器产生的数据，包括所有IT系统和基础结构（物理、虚拟和云）生成的数据。 Splunk 4.2.5及之前版本中存在漏洞，当free模块被启用时，不实施认证。远程攻击者可（1）通过创建特制数据源的management-console会话来读取任意文件，或者（2）借助HTTP请求执行受限制命令。,CVE-2011-4644
Splunk路径遍历漏洞,CNNVD-201201-005,2012-01-04,2012-01-04,低危,路径遍历,Splunk是美国Splunk公司的一套数据收集分析软件。该软件主要用于收集、索引和分析机器产生的数据，包括所有IT系统和基础结构（物理、虚拟和云）生成的数据。 Splunk 4.2.5之前的4.x版本中存在多个目录遍历漏洞。远程认证用户可借助URI中的..（点 点）在(1) Splunk Web或者(2）Splunkd HTTP Server中读取任意文件。,CVE-2011-4643
Bugzilla跨站请求伪造漏洞,CNNVD-201201-002,2012-01-04,2012-01-04,中危,跨站请求伪造,"Bugzilla是美国Mozilla基金会开发的一套开源的缺陷跟踪系统，它可管理软件开发中缺陷的提交（new）、修复（resolve）、关闭（close）等整个生命周期。 Bugzilla 2.x, 3.x版本和4.2rc1版本之前的4.x版本的post_bug.cgi中存在跨站请求伪造（CSRF）漏洞。远程攻击者可利用该漏洞劫持任意请求创建错误报告的认证用户。",CVE-2011-3668
Bugzilla ‘attachment.cgi’跨站请求伪造漏洞,CNNVD-201201-003,2012-01-04,2012-01-04,中危,跨站请求伪造,Bugzilla是美国Mozilla基金会开发的一套开源的缺陷跟踪系统，它可管理软件开发中缺陷的提交（new）、修复（resolve）、关闭（close）等整个生命周期。 Bugzilla 2.x，3.x版本和4.2rc1版本之前的4.x版本的attachment.cgi中存在跨站请求伪造（CSRF）漏洞。远程攻击者可利用该漏洞劫持任意请求上传附件的认证用户。,CVE-2011-3669
Splunk ‘Splunk Web’跨站请求伪造漏洞,CNNVD-201201-004,2012-01-04,2012-01-04,中危,跨站请求伪造,Splunk是美国Splunk公司的一套数据收集分析软件。该软件主要用于收集、索引和分析机器产生的数据，包括所有IT系统和基础结构（物理、虚拟和云）生成的数据。 Splunk 4.2.5之前的4.2.x版本的Splunk Web中存在漏洞，该漏洞源于mappy.py未正确限制mappy命令访问Python类的使用。远程认证管理员可利用搜索应用程序请求中的sys模块执行任意代码，正如跨站请求伪造攻击（CSRF）中证明的，也称为SPL-45172。,CVE-2011-4642
CoCSoft Stream Down缓冲区溢出漏洞,CNNVD-201201-041,2012-01-05,2012-01-05,中危,授权问题,CoCSoft Stream Down 6.8.0版本中存在基于栈的缓冲区溢出漏洞。远程web服务器可借助对于下载请求的超长响应执行任意代码。,CVE-2011-5052
WordPress ‘WP Symposium’插件无限制文件上传漏洞,CNNVD-201201-040,2012-01-05,2012-01-05,中危,其他,"WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。 WordPress的WP Symposium插件11.12.24之前的版本中存在多个无限制文件上传漏洞。远程攻击者可通过上传带有可执行扩展名的文件执行任意代码。这些可执行扩展名使用(1) uploadify/upload_admin_avatar.php 或者(2) uploadify/upload_profile_avatar.php,然后可借助未明目录中文件的直接请求在webroot中访问文件。",CVE-2011-5051
MySQL 拒绝服务漏洞,CNNVD-201201-038,2012-01-05,2019-12-18,中危,资源管理错误,Oracle MySQL是美国甲骨文（Oracle）公司的一套开源的关系数据库管理系统。该数据库系统具有性能高、成本低、可靠性好等特点。 MySQL 5.5.8版本在Windows平台上运行时存在漏洞。远程攻击者可借助到TCP 3306端口的特制数据包导致拒绝服务（空指针解引用）。,CVE-2011-5049
